Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485,5228953251,1937,12,December,4,1930,Winter,28.27600128,50,1,0.0864,0.0017,$100–300M,Snow White and the Seven Dwarfs
Pinocchio,1940-02-09,Adventure,G,84300000,2188229052,1940,2,February,1,1940,Winter,25.95764,130,2,0.2245,0.0035,$50–100M,Pinocchio
Fantasia,1940-11-13,Musical,G,83320000,2187090808,1940,11,November,4,1940,Fall,26.24928958,132,3,0.228,0.0052,$50–100M,Fantasia
Song of the South,1946-11-12,Adventure,G,65000000,1078510579,1946,11,November,4,1940,Fall,16.59247045,168,6,0.2902,0.0104,$50–100M,Song of the South
Cinderella,1950-02-15,Drama,G,85000000,920608730,1950,2,February,1,1950,Winter,10.83069094,127,8,0.2193,0.0138,$50–100M,Cinderella
"20,000 Leagues Under the Sea",1954-12-23,Adventure,G,28200000,528279994,1954,12,December,4,1950,Winter,18.73333312,307,14,0.5302,0.0242,$10–50M,"20,000 Leagues Under the Sea"
Lady and the Tramp,1955-06-22,Drama,G,93600000,1236035515,1955,6,June,2,1950,Summer,13.20550764,111,5,0.1917,0.0086,$50–100M,Lady and the Tramp
Sleeping Beauty,1959-01-29,Drama,G,9464608,21505832,1959,1,January,1,1950,Winter,2.272236948,467,442,0.8066,0.7634,<$10M,Sleeping Beauty
101 Dalmatians,1961-01-25,Comedy,G,153000000,1362870985,1961,1,January,1,1960,Winter,8.907653497,64,4,0.1105,0.0069,$100–300M,101 Dalmatians
The Absent Minded Professor,1961-03-16,Comedy,G,25381407,310094574,1961,3,March,1,1960,Spring,12.21739102,329,44,0.5682,0.076,$10–50M,The Absent Minded Professor
Babes in Toyland,1961-12-14,Musical,G,10218316,124841160,1961,12,December,4,1960,Winter,12.21739081,461,140,0.7962,0.2418,$10–50M,Babes in Toyland
Bon Voyage!,1962-05-17,Comedy,PG-13,9230769,109581646,1962,5,May,2,1960,Spring,11.87134528,470,160,0.8117,0.2763,<$10M,Bon Voyage!
The Sword in the Stone,1963-12-25,Adventure,G,22182353,153870834,1963,12,December,4,1960,Winter,6.936632647,354,118,0.6114,0.2038,$10–50M,The Sword in the Stone
The Jungle Book,1967-10-18,Musical,PG,141843000,789612346,1967,10,October,4,1960,Fall,5.566805172,67,9,0.1157,0.0155,$100–300M,The Jungle Book
Blackbeard's Ghost,1968-02-08,Comedy,G,21540050,138612686,1968,2,February,1,1960,Winter,6.435114403,360,127,0.6218,0.2193,$10–50M,Blackbeard's Ghost
The Aristocats,1970-04-24,Musical,G,55675257,255161499,1970,4,April,2,1970,Spring,4.583032262,196,61,0.3385,0.1054,$50–100M,The Aristocats
The Boatniks,1970-07-01,Comedy,G,18607492,101200742,1970,7,July,3,1970,Summer,5.438709419,389,176,0.6718,0.304,$10–50M,The Boatniks
Bedknobs and Broomsticks,1971-10-07,Musical,G,17871174,91305448,1971,10,October,4,1970,Fall,5.109090651,396,198,0.6839,0.342,$10–50M,Bedknobs and Broomsticks
The Apple Dumpling Gang,1975-07-01,Comedy,G,31916500,131246872,1975,7,July,3,1970,Summer,4.112195009,284,134,0.4905,0.2314,$10–50M,The Apple Dumpling Gang
Freaky Friday,1977-01-21,Comedy,PG,25942000,98067733,1977,1,January,1,1970,Winter,3.780268792,324,180,0.5596,0.3109,$10–50M,Freaky Friday
The Rescuers,1977-06-22,Adventure,G,48775599,159743914,1977,6,June,2,1970,Summer,3.275078467,224,109,0.3869,0.1883,$10–50M,The Rescuers
Herbie Goes to Monte Carlo,1977-06-24,Action,G,28000000,105847527,1977,6,June,2,1970,Summer,3.780268821,309,168,0.5337,0.2902,$10–50M,Herbie Goes to Monte Carlo
The Black Hole,1979-12-21,Horror,PG,35841901,120377374,1979,12,December,4,1970,Winter,3.358565552,269,143,0.4646,0.247,$10–50M,The Black Hole
The Last Flight of Noah's Ark,1980-06-25,Action,G,11000000,34472116,1980,6,June,2,1980,Summer,3.133828727,452,373,0.7807,0.6442,$10–50M,The Last Flight of Noah's Ark
The Devil and Max Devlin,1981-01-01,Action,PG,16000000,48517980,1981,1,January,1,1980,Winter,3.03237375,410,318,0.7081,0.5492,$10–50M,The Devil and Max Devlin
The Fox and the Hound,1981-07-10,Comedy,G,43899231,133118889,1981,7,July,3,1980,Summer,3.032374052,241,133,0.4162,0.2297,$10–50M,The Fox and the Hound
Night Crossing,1982-02-05,Drama,PG,4500000,12903059,1982,2,February,1,1980,Winter,2.867346444,522,490,0.9016,0.8463,<$10M,Night Crossing
Tron,1982-07-09,Action,PG,26918576,77184895,1982,7,July,3,1980,Summer,2.867346883,317,227,0.5475,0.3921,$10–50M,Tron
Tex,1982-11-19,Drama,PG,7199408,20643199,1982,11,November,4,1980,Fall,2.867346732,495,446,0.8549,0.7703,<$10M,Tex
Trenchcoat,1983-03-11,Comedy,PG,4304286,11519089,1983,3,March,1,1980,Spring,2.67619043,525,496,0.9067,0.8566,<$10M,Trenchcoat
Something Wicked This Way Comes,1983-04-29,Horror,PG,5656087,15136765,1983,4,April,2,1980,Spring,2.676190271,507,473,0.8756,0.8169,<$10M,Something Wicked This Way Comes
Never Cry Wolf,1983-10-07,Drama,PG,27668764,70669955,1983,10,October,4,1980,Fall,2.5541421,312,241,0.5389,0.4162,$10–50M,Never Cry Wolf
Running Brave,1983-11-04,Drama,PG,1204595,3223725,1983,11,November,4,1980,Fall,2.676189923,551,548,0.9516,0.9465,<$10M,Running Brave
Splash,1984-03-09,Comedy,PG,62599495,157057661,1984,3,March,1,1980,Spring,2.508928562,175,113,0.3022,0.1952,$50–100M,Splash
Country,1984-09-29,Drama,PG,8400000,21075000,1984,9,September,3,1980,Fall,2.508928571,481,443,0.8307,0.7651,<$10M,Country
Baby: Secret of the Lost Legend,1985-03-22,Adventure,PG,14276095,33900697,1985,3,March,1,1980,Spring,2.374647759,424,377,0.7323,0.6511,$10–50M,Baby
Return to Oz,1985-06-21,Adventure,PG,10618813,25215934,1985,6,June,2,1980,Summer,2.374647147,454,419,0.7841,0.7237,$10–50M,Return to Oz
The Black Cauldron,1985-07-24,Adventure,PG,21288692,50553142,1985,7,July,3,1980,Summer,2.37464763,365,310,0.6304,0.5354,$10–50M,The Black Cauldron
My Science Project,1985-08-09,Comedy,PG,4100000,9736051,1985,8,August,3,1980,Summer,2.374646585,529,511,0.9136,0.8826,<$10M,My Science Project
The Journey of Natty Gann,1985-09-27,Drama,PG,9468512,22302956,1985,9,September,3,1980,Fall,2.355486902,466,437,0.8048,0.7547,<$10M,The Journey of Natty Gann
One Magic Christmas,1985-11-22,Drama,PG,13229514,31415432,1985,11,November,4,1980,Fall,2.374647474,430,389,0.7427,0.6718,$10–50M,One Magic Christmas
Down and Out in Beverly Hills,1986-01-31,Comedy,R,62134225,141183693,1986,1,January,1,1980,Winter,2.272237129,176,125,0.304,0.2159,$50–100M,Down and Out in Beverly Hills
Off Beat,1986-04-11,Comedy,PG,4842778,11003932,1986,4,April,2,1980,Spring,2.272235481,515,502,0.8895,0.867,<$10M,Off Beat
Ruthless People,1986-06-27,Comedy,R,71624879,162748712,1986,6,June,2,1980,Summer,2.272237165,152,105,0.2625,0.1813,$50–100M,Ruthless People
The Great Mouse Detective,1986-07-02,Adventure,G,23605534,53637367,1986,7,July,3,1980,Summer,2.272236968,343,298,0.5924,0.5147,$10–50M,The Great Mouse Detective
Flight of the Navigator,1986-07-30,Adventure,PG,18564613,42183197,1986,7,July,3,1980,Summer,2.272236809,390,345,0.6736,0.5959,$10–50M,Flight of the Navigator
Tough Guys,1986-10-03,Comedy,PG,21458229,48758184,1986,10,October,4,1980,Fall,2.272237098,361,316,0.6235,0.5458,$10–50M,Tough Guys
The Color of Money,1986-10-17,Drama,R,52293000,117957323,1986,10,October,4,1980,Fall,2.255700055,208,149,0.3592,0.2573,$50–100M,The Color of Money
Outrageous Fortune,1987-01-30,Comedy,R,52864741,113976921,1987,1,January,1,1980,Winter,2.156010203,205,154,0.3541,0.266,$50–100M,Outrageous Fortune
Tin Men,1987-03-06,Comedy,R,25411386,54787202,1987,3,March,1,1980,Spring,2.156009987,328,293,0.5665,0.506,$10–50M,Tin Men
